kind,sido,sigungu,name,area_k_m2,industry_k_m2,designated,note,source_file
일반,경북,경산시,경산화장품특화단지,149,83,2022-03-23,,한국산업단지공단_전국산업단지현황통계_20220331.xlsx
일반,경북,영천시,영천금호일반산업단지,282,163,2022-06-09,,한국산업단지공단_전국산업단지현황통계_20220630.xlsx
일반,경기,용인시,제2용인테크노밸리일반산업단지,273,146,2022-07-29,,한국산업단지공단_전국산업단지현황통계_20220930.xlsx
일반,충북,충주시,충주비즈코어시티산업단지,274,155,2022-07-29,,한국산업단지공단_전국산업단지현황통계_20220930.xlsx
일반,충남,부여군,부여일반산업단지,467,305,2022-09-13,,한국산업단지공단_전국산업단지현황통계_20220930.xlsx
일반,충북,음성군,음성테크노폴리스산업단지,653,444,2022-10-07,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,울산,울주군,머거본일반산업단지,56,37,2022-11-03,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
도시첨단,부산,해운대구,센텀2지구도시첨단산업단지,1912,291,2022-11-30,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,충북,청주시,오송바이오산업단지,283,200,2022-12-09,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
도시첨단,대구,북구,경북대캠퍼스혁신파크도시첨단산업단지,29,6,2022-12-26,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
도시첨단,광주,북구,전남대캠퍼스혁신파크도시첨단산업단지,35,21,2022-12-26,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,전남,화순군,화순생물의약제2일반산업단지,308,195,2022-12-29,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,경남,사천시,사천서부일반산업단지,314,183,2022-12-29,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,경남,거창군,거창첨단일반산업단지,304,192,2022-12-29,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,경기,김포시,학운3-1일반산업단지,120,55,2022-12-30,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,충북,진천군,문백산업단지,299,172,2022-12-30,,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,경북,의성군,의성바이오밸리일반산업단지,225,134,2023-01-30,,한국산업단지공단_전국산업단지현황통계_20230331.xlsx
