no,gu,biz_type,stage_now,zone,jibun,ara_id,location,households,정비구역지정,추진위,조합설립,사업시행인가,관리처분,착공,준공
21,미추홀구,주택재개발,정비구역지정,주안북초북측 / 정비구역후보지(23년 2차),주안동 9-3번지 일원,BARA_0000000000444,주안동 9-3번지 일원,1,,,,,,,
20,부평구,주택재건축,추진위승인,진흥&middot;동남,산곡동 38-26,BARA_0000000000542,,,,,,,,,
19,부평구,주택재개발,추진위승인,청천4구역 / 정비구역후보지(23년 2차),청천동 16-8번지 일원,BARA_0000000000461,청천동 16-8번지 일원,1,,20260603,,,,,
18,부평구,주택재건축,사업시행인가,청천대진아파트구역,청천2동 236번지 일원,BARA_0000000000135,청천2동 236번지 일원,401,20110816,20080805,20210604,20240902,,,
17,연수구,주거환경개선,착공,청학동(현지개량),청학동 518번지 일원,BARA_0000000000514,,,,,,,,,
16,서해구,주택재건축,추진위승인,태화아파트,가좌동 122번지,BARA_0000000000541,,,,,,,,,
15,부평구,주택재개발,정비구역지정,하정초동측(십정6) / 정비구역후보지(23년 2차),십정동 397번지 일원,BARA_0000000000465,십정동 397번지 일원,1,,,,,,,
14,부평구,주거환경개선,준공,하하골마을(현지개량),부평동 767-23 일원,BARA_0000000000491,부평동 767-23 일원,0,20201116,,,20210203,,20230913,20250414
13,미추홀구,주택재개발,착공,학익3구역,학익동 321-35번지 일원,BARA_0000000000047,"학익1동 321번지 일원(100,800)",1500,20161226,20060817,20171010,20200907,20220418,20241111,
12,미추홀구,주택재개발,준공,학익4구역,학익2동 290-1번지 일원,BARA_0000000000063,"학익2동 290번지일원(20,658)",567,20090928,20080124,20100714,20190923,20210315,20220831,20260625
11,미추홀구,주택재개발,정비구역지정,학익5 / 정비구역후보지(23년 2차),학익동 2-28 번지 일원,BARA_0000000000445,학익동 2-28 번지 일원,1,,,,,,,
10,미추홀구,주택재건축,추진위승인,학익장미아파트,학익동 413-1번지 일원,BARA_0000000000526,학익동 413-1번지 일원,999,20260119,20250812,,,,,
9,서해구,주택재건축,추진위승인,한신그랜드힐빌리지,가정동 546번지,BARA_0000000000525,,,,,,,,,
8,부평구,주택재건축,조합설립인가,한양아파트2단지,산곡동 182,BARA_0000000000521,산곡동 182,0,20250728,20250825,20260728,,,,
7,부평구,주택재건축,추진위승인,현대3단지,산곡동 370-399,BARA_0000000000519,,,,,,,,,
6,제물포구,주택재개발,정비구역지정,화수아파트일원 / 정비구역후보지(23년 1차),화수동 287-10번지 일원,BARA_0000000000437,화수동 287-10번지 일원,1,,,,,,,
5,제물포구,주택재개발,관리처분,화수화평구역,화평동 1-1번지 일원,BARA_0000000000029,"화평동 1번지 일원(180,998)",2986,20210719,20071031,20091130,20241004,20260729,,
4,계양구,주택재개발,정비구역지정,효성 / 정비구역후보지(23년 1차),효성동 273-1번지 일원,BARA_0000000000467,효성동 273-1번지 일원,1,,,,,,,
3,계양구,주거환경개선,정비구역지정,효성1동(현지개량),효성동 96-2일원,BARA_0000000000561,,,,,,,,,
2,계양구,주택재건축,조합설립인가,효성뉴서울아파트구역,효성동 99-11번지,BARA_0000000000151,"효성동 99-11번지(17,400)",570,20130923,20091126,20210511,,,,
1,계양구,주택재건축,사업시행인가,효성새사미아파트구역,효성동 623-16번지,BARA_0000000000152,효성동 623-16번지,413,20130923,20081120,20191031,20250117,20260518,,
